"Record_ID";"Location_ID";"Loan_Number";"Original_Principal_Amount";"Undisbursed_Amount";"Disbursed_Amount";"Cancelled_Amount";"Repaid_to_IBRD";"Due_to_IBRD";"Exchange_Adjustment";"Borrowers_Obligation";"Sold_3rd_Party";"Repaid_3rd_Party";"Loans_Held";"Interest_Rate";"First_Repayment_Date";"Last_Repayment_Date";"Agreement_Signing_Date";"Board_Approval_Date";"Effective_Date";"Close_Date";"Last_Disbursement_Date"
1;1;"IBRD91720";1000000000.0;797500000.0;202500000.0;0.0;0.0;202500000.0;0.0;202500000.0;0.0;0.0;1000000000.0;0.0;"2026-03-15";"2031-03-15";"2021-06-17";"2020-10-29";"2021-07-02";"2022-12-31";"2021-08-16"
2;2;"IBRD90760";700000000.0;696928510.8;3071489.22;0.0;0.0;3071489.22;0.0;3071489.22;0.0;0.0;700000000.0;0.0;"2025-09-15";"2045-03-15";"2020-10-15";"2020-03-31";"2021-06-30";"2024-05-31";"2021-09-15"
3;3;"IBRD93120";600000000.0;600000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;600000000.0;0.0;"2027-06-01";"2040-06-01";"2021-12-16";"2021-12-10";"2022-03-16";"2023-03-31";""
4;4;"IBRD89740";560600000.0;564535125.0;1389625.0;0.0;0.0;1389625.0;25250.0;1414875.0;0.0;0.0;565924750.0;0.0;"2024-11-15";"2049-05-15";"2019-07-10";"2019-05-24";"2019-11-05";"2026-05-29";"2019-11-05"
5;5;"IBRD91480";500000000.0;520447620.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;520447620.0;0.0;"2026-10-15";"2033-04-15";"2021-05-14";"2020-07-02";"2022-03-31";"2025-12-31";""
6;6;"IBRDG2900";500000000.0;500000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500000000.0;0.0;"";"";"2021-06-23";"2019-07-16";"2021-07-15";"2023-12-31";""
7;7;"IBRD92060";500000000.0;500000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500000000.0;0.0;"2026-04-15";"2055-10-15";"";"2021-02-04";"";"2026-06-30";""
8;8;"IBRD92630";500000000.0;500000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500000000.0;0.0;"2026-08-01";"2034-02-01";"2021-06-25";"2021-06-17";"2021-08-19";"2022-12-31";""
9;9;"IBRD91940";500000000.0;500000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500000000.0;0.0;"2024-02-15";"2033-08-15";"";"2020-12-17";"";"2022-11-03";""
10;10;"IBRD93270";500000000.0;500000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500000000.0;0.0;"2027-06-15";"2036-06-15";"";"2021-12-20";"";"2023-06-30";""
11;11;"IBRD92410";500000000.0;500000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;500000000.0;0.0;"2026-12-15";"2039-06-15";"";"2021-06-04";"";"2026-09-30";""
12;11;"IBRD90620";500000000.0;498750000.0;1250000.0;0.0;0.0;1250000.0;0.0;1250000.0;0.0;0.0;500000000.0;0.0;"2025-09-15";"2038-09-15";"2020-12-22";"2020-03-27";"2021-02-10";"2025-03-18";"2021-02-10"
13;12;"IBRD92900";500000000.0;498750000.0;1250000.0;0.0;0.0;1250000.0;0.0;1250000.0;0.0;0.0;500000000.0;0.0;"2032-02-15";"2049-08-15";"2021-11-03";"2021-09-30";"2021-11-11";"2026-10-31";"2021-11-11"
14;11;"IBRD92190";500000000.0;491750000.0;8250000.0;0.0;0.0;8250000.0;0.0;8250000.0;0.0;0.0;500000000.0;0.0;"2028-06-15";"2037-12-15";"2021-05-19";"2021-03-24";"2021-07-01";"2027-09-30";"2021-12-21"
15;13;"IBRD90050";557200000.0;481057500.0;87157500.0;0.0;0.0;87157500.0;-2265000.0;84892500.0;0.0;0.0;568215000.0;0.0;"2029-09-01";"2029-09-01";"2019-09-23";"2019-09-17";"2021-01-12";"2023-12-31";"2021-10-04"
16;11;"IBRD91010";500000000.0;467750000.0;32250000.0;0.0;0.0;32250000.0;0.0;32250000.0;0.0;0.0;500000000.0;0.0;"2026-09-15";"2037-09-15";"2021-01-28";"2020-06-24";"2021-02-23";"2025-12-31";"2021-11-12"
17;14;"IBRD93170";450000000.0;437139780.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;437139780.0;0.0;"2028-04-15";"2047-04-15";"";"2021-12-15";"";"2025-12-31";""
18;2;"IBRDG2410";420000000.0;420000000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;420000000.0;0.0;"";"";"2017-06-20";"2016-06-21";"2017-06-23";"2017-12-31";""
19;3;"IBRD93000";500000000.0;417500000.0;82500000.0;0.0;0.0;82500000.0;0.0;82500000.0;0.0;0.0;500000000.0;0.0;"2027-11-15";"2039-11-15";"2021-11-29";"2021-11-17";"2021-12-22";"2024-12-31";"2021-12-27"
20;2;"IBRD88140";425000000.0;410710391.7;14289608.28;0.0;0.0;14289608.28;0.0;14289608.28;0.0;0.0;425000000.0;0.0;"2024-06-15";"2042-12-15";"2018-06-13";"2017-12-19";"2018-12-11";"2024-01-31";"2021-12-30"
