end_of_period;loan_number;region;country_code;country;borrower;guarantor_country_code;guarantor;loan_type;loan_status;interest_rate;project_id;project_name;original_principal_amount;cancelled_amount;undisbursed_amount;disbursed_amount;repaid_to_ibrd;due_to_ibrd;exchange_adjustment;borrower_s_obligation;sold_3rd_party;repaid_3rd_party;due_3rd_party;loans_held;first_repayment_date;last_repayment_date;agreement_signing_date;board_approval_date;effective_date_most_recent_;closed_date_most_recent_
31.12.2021;IBRD00010;EUROPE AND CENTRAL ASIA;FR;France;CREDIT NATIONAL;FR;France;NPL;Fully Repaid;4,25;P037383;RECONSTRUCTION;250 000 000,00;0,00;0,00;250 000 000,00;38 000,00;0,00;0,00;0,00;249 962 000,00;249 962 000,00;0,00;0,00;01.11.1952;01.05.1977;09.05.1947;09.05.1947;09.06.1947;31.12.1947
31.12.2021;IBRD00020;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;4,25;P037452;RECONSTRUCTION;191 044 211,75;0,00;0,00;191 044 211,75;103 372 211,75;0,00;0,00;0,00;87 672 000,00;87 672 000,00;0,00;0,00;01.04.1952;01.10.1972;07.08.1947;07.08.1947;11.09.1947;31.03.1948
31.12.2021;IBRD00021;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;4,25;P037452;RECONSTRUCTION;3 955 788,25;0,00;0,00;3 955 788,25;0,00;0,00;0,00;0,00;3 955 788,25;3 955 788,25;0,00;0,00;01.04.1953;01.04.1954;25.05.1948;07.08.1947;01.06.1948;30.06.1948
31.12.2021;IBRD00030;EUROPE AND CENTRAL ASIA;DK;Denmark;;;;NPL;Fully Repaid;4,25;P037362;RECONSTRUCTION;40 000 000,00;0,00;0,00;40 000 000,00;17 771 000,00;0,00;0,00;0,00;22 229 000,00;22 229 000,00;0,00;0,00;01.02.1953;01.08.1972;22.08.1947;22.08.1947;17.10.1947;31.03.1949
31.12.2021;IBRD00040;EUROPE AND CENTRAL ASIA;LU;Luxembourg;;;;NPL;Fully Repaid;4,25;P037451;RECONSTRUCTION;12 000 000,00;0,00;0,00;11 761 983,02;1 619 983,02;0,00;0,00;0,00;10 142 000,00;10 142 000,00;0,00;0,00;15.07.1949;15.07.1972;28.08.1947;28.08.1947;24.10.1947;31.03.1949
31.12.2021;IBRD00050;LATIN AMERICA AND CARIBBEAN;CL;Chile;Ministry of Finance;CL;Chile;NPL;Fully Repaid;4,50;P006578;POWER;13 500 000,00;0,00;0,00;13 500 000,00;12 167 000,00;0,00;0,00;0,00;1 333 000,00;1 333 000,00;0,00;0,00;01.07.1953;01.07.1968;25.03.1948;25.03.1948;07.04.1949;31.12.1954
31.12.2021;IBRD00060;LATIN AMERICA AND CARIBBEAN;CL;Chile;Ministry of Finance;CL;Chile;NPL;Fully Repaid;3,75;P006577;FOMENTO AGRIC CREDIT;2 500 000,00;0,00;0,00;2 500 000,00;755 000,00;0,00;0,00;0,00;1 745 000,00;1 745 000,00;0,00;0,00;01.07.1950;01.01.1955;25.03.1948;25.03.1948;07.04.1949;01.01.1950
31.12.2021;IBRD00070;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;3,56;P037453;SHIPPING I;2 000 000,00;0,00;0,00;2 000 000,00;0,00;0,00;0,00;0,00;2 000 000,00;2 000 000,00;0,00;0,00;15.01.1949;15.07.1958;15.07.1948;21.05.1948;03.08.1948;03.08.1948
31.12.2021;IBRD00071;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;3,56;P037453;SHIPPING I;2 000 000,00;0,00;0,00;2 000 000,00;0,00;0,00;0,00;0,00;2 000 000,00;2 000 000,00;0,00;0,00;15.01.1949;15.07.1958;15.07.1948;21.05.1948;03.08.1948;03.08.1948
31.12.2021;IBRD00080;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;3,56;P037454;SHIPPING II;2 000 000,00;0,00;0,00;2 000 000,00;0,00;0,00;0,00;0,00;2 000 000,00;2 000 000,00;0,00;0,00;15.01.1949;15.07.1958;15.07.1948;21.05.1948;03.08.1948;03.08.1948
31.12.2021;IBRD00090;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;3,56;P037455;SHIPPING III;2 000 000,00;0,00;0,00;2 000 000,00;0,00;0,00;0,00;0,00;2 000 000,00;2 000 000,00;0,00;0,00;15.01.1949;15.07.1958;15.07.1948;21.05.1948;03.08.1948;03.08.1948
31.12.2021;IBRD00100;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;3,56;P037456;SHIPPING IV;2 000 000,00;0,00;0,00;2 000 000,00;0,00;0,00;0,00;0,00;2 000 000,00;2 000 000,00;0,00;0,00;15.01.1949;15.07.1958;15.07.1948;21.05.1948;03.08.1948;03.08.1948
31.12.2021;IBRD00101;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;3,56;P037456;SHIPPING IV;2 000 000,00;0,00;0,00;2 000 000,00;0,00;0,00;0,00;0,00;2 000 000,00;2 000 000,00;0,00;0,00;15.01.1949;15.07.1958;15.07.1948;21.05.1948;03.08.1948;03.08.1948
31.12.2021;IBRD00111;LATIN AMERICA AND CARIBBEAN;BR;Brazil;Ministério da Fazenda;BR;Brazil;NPL;Fully Repaid;4,50;P006214;POWER AND TELEPHONE;75 000 000,00;0,00;0,00;75 000 000,00;70 971 588,97;0,00;0,00;0,00;4 028 411,03;4 028 411,03;0,00;0,00;01.07.1953;01.01.1974;27.01.1949;27.01.1949;09.05.1949;31.12.1953
31.12.2021;IBRD00112;LATIN AMERICA AND CARIBBEAN;BR;Brazil;Ministério da Fazenda;BR;Brazil;NPL;Fully Repaid;4,25;P006214;POWER AND TELEPHONE;15 000 000,00;0,00;0,00;15 000 000,00;15 000 000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;01.07.1955;01.01.1976;18.01.1951;16.01.1951;10.04.1951;31.12.1954
31.12.2021;IBRD00120;LATIN AMERICA AND CARIBBEAN;MX;Mexico;Secretaria de Hacienda Y Credito Publico;MX;Mexico;NPL;Fully Repaid;4,50;P007497;POWER I;24 100 000,00;0,00;0,00;24 100 000,00;20 131 700,00;0,00;0,00;0,00;3 968 300,00;3 968 300,00;0,00;0,00;01.02.1953;01.08.1973;06.01.1949;06.01.1949;15.03.1949;31.03.1956
31.12.2021;IBRD00130;LATIN AMERICA AND CARIBBEAN;MX;Mexico;Secretaria de Hacienda Y Credito Publico;MX;Mexico;NPL;Fully Cancelled;4,50;P007498;POWER II;10 000 000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;01.01.1951;01.01.1951;06.01.1949;06.01.1949;15.03.1949;01.07.1950
31.12.2021;IBRD00140;EUROPE AND CENTRAL ASIA;BE;Belgium;MINISTERE DES FINANCES;BE;Belgium;NPL;Fully Repaid;4,25;P037358;INDUSTRY;16 000 000,00;0,00;0,00;16 000 000,00;0,00;0,00;0,00;0,00;16 000 000,00;16 000 000,00;0,00;0,00;01.09.1953;01.03.1969;01.03.1949;08.02.1949;01.03.1949;01.06.1952
31.12.2021;IBRD00150;EUROPE AND CENTRAL ASIA;NL;Netherlands;;;;NPL;Fully Repaid;4,00;P037457;INDUSTRIAL PROJECTS;15 000 000,00;0,00;0,00;7 451 984,72;1 025 088,71;0,00;0,00;0,00;6 426 896,01;6 426 896,01;0,00;0,00;01.12.1952;01.06.1964;26.07.1949;26.07.1949;15.09.1949;01.12.1953
31.12.2021;IBRD00160;EUROPE AND CENTRAL ASIA;FI;Finland;;;;NPL;Fully Repaid;4,00;P037366;INDUSTRY I;12 500 000,00;0,00;0,00;12 500 000,00;6 747 990,11;0,00;-0,01;-0,01;5 752 009,89;5 752 009,89;0,00;0,00;01.02.1953;01.08.1964;01.08.1949;26.07.1949;12.09.1949;31.12.1953
31.12.2021;IBRD00170;SOUTH ASIA;IN;India;CONTROLLER OF AID ACCOUNTS & AUDIT;IN;India;NPL;Fully Repaid;4,00;P009588;RAILWAY;34 000 000,00;0,00;0,00;32 800 000,00;15 056 370,48;0,00;0,00;0,00;17 743 629,52;17 743 629,52;0,00;0,00;15.08.1950;15.08.1964;18.08.1949;18.08.1949;02.11.1949;31.03.1951
31.12.2021;IBRD00180;LATIN AMERICA AND CARIBBEAN;CO;Colombia;MINISTERIO DE HACIENDA Y CREDITO PUBLICO;CO;Colombia;NPL;Fully Repaid;3,50;P006682;AGRICULTRE MACHINERY;5 000 000,00;0,00;0,00;4 925 440,84;2 925 440,84;0,00;0,00;0,00;2 000 000,00;2 000 000,00;0,00;0,00;15.05.1952;15.11.1956;19.08.1949;18.08.1949;22.10.1949;01.04.1951
