agreement_signing_date;board_approval_date;borrower;closed_date_most_recent_;country;country_code;effective_date_most_recent_;end_of_period;first_repayment_date;guarantor;guarantor_country_code;last_repayment_date;loan_number;loan_status;loan_type;project_id;project_name;region;borrower_s_obligation;cancelled_amount;disbursed_amount;due_3rd_party;due_to_ibrd;exchange_adjustment;interest_rate;loans_held;original_principal_amount;repaid_3rd_party;repaid_to_ibrd;sold_3rd_party;undisbursed_amount
09.05.1947;09.05.1947;CREDIT NATIONAL;31.12.1947;France;FR;09.06.1947;31.12.2021;01.11.1952;France;FR;01.05.1977;IBRD00010;Fully Repaid;NPL;P037383;RECONSTRUCTION;EUROPE AND CENTRAL ASIA;0;0;250000000;0;0;0;4,25;0;250000000;249962000;38000;249962000;0
07.08.1947;07.08.1947;;31.03.1948;Netherlands;NL;11.09.1947;31.12.2021;01.04.1952;;;01.10.1972;IBRD00020;Fully Repaid;NPL;P037452;RECONSTRUCTION;EUROPE AND CENTRAL ASIA;0;0;191044211,75;0;0;0;4,25;0;191044211,75;87672000;103372211,75;87672000;0
25.05.1948;07.08.1947;;30.06.1948;Netherlands;NL;01.06.1948;31.12.2021;01.04.1953;;;01.04.1954;IBRD00021;Fully Repaid;NPL;P037452;RECONSTRUCTION;EUROPE AND CENTRAL ASIA;0;0;3955788,25;0;0;0;4,25;0;3955788,25;3955788,25;0;3955788,25;0
22.08.1947;22.08.1947;;31.03.1949;Denmark;DK;17.10.1947;31.12.2021;01.02.1953;;;01.08.1972;IBRD00030;Fully Repaid;NPL;P037362;RECONSTRUCTION;EUROPE AND CENTRAL ASIA;0;0;40000000;0;0;0;4,25;0;40000000;22229000;17771000;22229000;0
28.08.1947;28.08.1947;;31.03.1949;Luxembourg;LU;24.10.1947;31.12.2021;15.07.1949;;;15.07.1972;IBRD00040;Fully Repaid;NPL;P037451;RECONSTRUCTION;EUROPE AND CENTRAL ASIA;0;0;11761983,02;0;0;0;4,25;0;12000000;10142000;1619983,02;10142000;0
25.03.1948;25.03.1948;Ministry of Finance;31.12.1954;Chile;CL;07.04.1949;31.12.2021;01.07.1953;Chile;CL;01.07.1968;IBRD00050;Fully Repaid;NPL;P006578;POWER;LATIN AMERICA AND CARIBBEAN;0;0;13500000;0;0;0;4,5;0;13500000;1333000;12167000;1333000;0
25.03.1948;25.03.1948;Ministry of Finance;01.01.1950;Chile;CL;07.04.1949;31.12.2021;01.07.1950;Chile;CL;01.01.1955;IBRD00060;Fully Repaid;NPL;P006577;FOMENTO AGRIC CREDIT;LATIN AMERICA AND CARIBBEAN;0;0;2500000;0;0;0;3,75;0;2500000;1745000;755000;1745000;0
15.07.1948;21.05.1948;;03.08.1948;Netherlands;NL;03.08.1948;31.12.2021;15.01.1949;;;15.07.1958;IBRD00070;Fully Repaid;NPL;P037453;SHIPPING I;EUROPE AND CENTRAL ASIA;0;0;2000000;0;0;0;3,56;0;2000000;2000000;0;2000000;0
15.07.1948;21.05.1948;;03.08.1948;Netherlands;NL;03.08.1948;31.12.2021;15.01.1949;;;15.07.1958;IBRD00071;Fully Repaid;NPL;P037453;SHIPPING I;EUROPE AND CENTRAL ASIA;0;0;2000000;0;0;0;3,56;0;2000000;2000000;0;2000000;0
15.07.1948;21.05.1948;;03.08.1948;Netherlands;NL;03.08.1948;31.12.2021;15.01.1949;;;15.07.1958;IBRD00080;Fully Repaid;NPL;P037454;SHIPPING II;EUROPE AND CENTRAL ASIA;0;0;2000000;0;0;0;3,56;0;2000000;2000000;0;2000000;0
15.07.1948;21.05.1948;;03.08.1948;Netherlands;NL;03.08.1948;31.12.2021;15.01.1949;;;15.07.1958;IBRD00090;Fully Repaid;NPL;P037455;SHIPPING III;EUROPE AND CENTRAL ASIA;0;0;2000000;0;0;0;3,56;0;2000000;2000000;0;2000000;0
15.07.1948;21.05.1948;;03.08.1948;Netherlands;NL;03.08.1948;31.12.2021;15.01.1949;;;15.07.1958;IBRD00100;Fully Repaid;NPL;P037456;SHIPPING IV;EUROPE AND CENTRAL ASIA;0;0;2000000;0;0;0;3,56;0;2000000;2000000;0;2000000;0
15.07.1948;21.05.1948;;03.08.1948;Netherlands;NL;03.08.1948;31.12.2021;15.01.1949;;;15.07.1958;IBRD00101;Fully Repaid;NPL;P037456;SHIPPING IV;EUROPE AND CENTRAL ASIA;0;0;2000000;0;0;0;3,56;0;2000000;2000000;0;2000000;0
27.01.1949;27.01.1949;Ministério da Fazenda;31.12.1953;Brazil;BR;09.05.1949;31.12.2021;01.07.1953;Brazil;BR;01.01.1974;IBRD00111;Fully Repaid;NPL;P006214;POWER AND TELEPHONE;LATIN AMERICA AND CARIBBEAN;0;0;75000000;0;0;0;4,5;0;75000000;4028411,03;70971588,97;4028411,03;0
18.01.1951;16.01.1951;Ministério da Fazenda;31.12.1954;Brazil;BR;10.04.1951;31.12.2021;01.07.1955;Brazil;BR;01.01.1976;IBRD00112;Fully Repaid;NPL;P006214;POWER AND TELEPHONE;LATIN AMERICA AND CARIBBEAN;0;0;15000000;0;0;0;4,25;0;15000000;0;15000000;0;0
